Class,Feature,Importance,Mean_SHAP_Active,Mean_SHAP_Overall,Direction
No ezafe & Head Initial,head_feats,0.017413652573776618,-0.013665243777501971,0.0004035232188810703,Negative
No ezafe & Head Initial,modifier_deprel_amod,0.017371017393258734,-0.06356903892617098,0.0045788586724784495,Negative
No ezafe & Head Initial,modifier_is_plural,0.015012539526613598,-0.003135584843042391,0.0008091606797669049,Negative
No ezafe & Head Initial,nominal_head_upos_NOUN,0.01306806084161533,-0.003177310168016862,0.0003766455464584788,Negative
No ezafe & Head Initial,modifier_upos_PRON,0.012968285228853524,-0.03534837117512306,0.0028518765576087957,Negative
No ezafe & Head Initial,modifier_feats,0.012832216423562888,0.0032293665283793767,0.0003149084940447616,Positive
No ezafe & Head Initial,nominal_head_deprel_conj,0.01219480515225216,0.016854925821597,-0.00041430344266382626,Positive
No ezafe & Head Initial,nominal_head_deprel_obl,0.012101865423986792,0.006224967917289544,-0.0001672477859442841,Positive
No ezafe & Head Initial,nominal_head_consonant_ending,0.01157618353048021,-0.0023730408930673747,-0.00046832523989202775,Negative
No ezafe & Head Initial,modifier_deprel_flat,0.011546977481988461,0.1514859370753645,-0.0013908616204313213,Positive
No ezafe & Head Initial,nominal_head_deprel_nsubj,0.011235720576406807,-0.002186100021273273,0.0002967409226814795,Negative
No ezafe & Head Initial,modifier_consonant_ending,0.0111220779082056,0.0008538378530431067,0.0005297241333726611,Positive
No ezafe & Head Initial,nominal_head_upos_PROPN,0.010565936816013682,0.018617280095389675,5.8290107012187685e-05,Positive
No ezafe & Head Initial,modifier_upos_ADJ,0.010182827672513396,-0.006433283448680997,0.0001460518519297544,Negative
No ezafe & Head Initial,nominal_head_deprel_obj,0.009849312241649437,0.0032054488530592,0.0002366990106909288,Positive
No ezafe & Head Initial,head_is_plural,0.009445943664827016,0.0026319291339684733,-0.0001054977908684232,Positive
No ezafe & Head Initial,modifier_upos_PROPN,0.0077513875722143985,0.011840673939828161,-4.175394094180436e-05,Positive
No ezafe & Head Initial,modifier_is_propn,0.0075302701183540925,0.01083985503649058,-0.0003143764899746141,Positive
No ezafe & Head Initial,ezafe_like_lemma_between,0.006487144578873137,0.022163293224851457,-0.0002348992801410479,Positive
No ezafe & Head Initial,nominal_head_upos_PRON,0.0045913651649736745,0.0034294970228721873,-9.582901859978922e-05,Positive
No ezafe & Head Initial,nominal_head_deprel_vocative,0.0034398453927524672,-0.0404814327698329,0.0005354316401010213,Negative
No ezafe & Head Initial,nominal_head_ī,0.003430118016884386,-0.004616502924034244,2.8282013632261442e-05,Negative
No ezafe & Head Initial,nominal_head_deprel_acl:relcl,0.0034018235185926276,-0.0006256962787767725,9.42490880279121e-05,Negative
No ezafe & Head Initial,nominal_head_deprel_dislocated:topic,0.0017098954577912107,0.0008529142950088999,0.00012061743165246609,Positive
With ezafe & Head Final,has_anchor_dependent,0.35814426744307926,0.23806376165898355,-0.19803421215292083,Positive
With ezafe & Head Final,num_dependents_modifier,0.19164745825253038,0.023662252980948182,-0.06303118570219333,Positive
With ezafe & Head Final,np_depth,0.09560394508964129,-0.01774003649385775,-0.01774003649385775,Negative
With ezafe & Head Final,num_dependents_head,0.0570821866356684,-0.02120486526964679,-0.02120486526964679,Negative
With ezafe & Head Final,distance,0.0384392063370779,-0.08489032451359875,-0.013750363955955369,Negative
With ezafe & Head Final,relative_position_in_sent,0.021652485775020224,-0.023825173923164945,-0.013586991658656695,Negative
With ezafe & Head Final,modifier_upos_NOUN,0.021287826971463857,-0.033161995548359885,-0.008214400172941817,Negative
With ezafe & Head Final,nmod_count,0.01987021370436958,-0.0023626860642464555,-0.007744409594054119,Negative
With ezafe & Head Final,modifier_deprel_appos,0.0182482566577869,-0.08424579653359647,-0.002769057557545609,Negative
With ezafe & Head Final,amod_count,0.017414677246722007,0.0046578547996400915,-0.005185575508681889,Positive
With ezafe & Head Final,modifier_deprel_amod,0.01729925264824784,0.03142072866155659,-0.010921688105088168,Positive
With ezafe & Head Final,nominal_head_deprel_nmod,0.01689407049875231,0.036161046534312465,-0.0131837325039806,Positive
With ezafe & Head Final,modifier_deprel_nmod,0.010176017514430848,-0.00759815328647717,-0.007643133185997608,Negative
With ezafe & Head Final,modifier_upos_ADJ,0.010147959596491762,0.00847127782771401,-0.004558876401385138,Positive
With ezafe & Head Final,nominal_head_upos_NOUN,0.009653784862469086,0.0026009123666915685,-0.003663782317584341,Positive
With ezafe & Head Final,head_feats,0.008777560922900276,-0.010399246614615344,-0.004783168664052434,Negative
With ezafe & Head Final,nominal_head_deprel_conj,0.007930475114149422,-0.023332166995572765,-0.002449245536662975,Negative
With ezafe & Head Final,modifier_consonant_ending,0.007407008515462281,-0.00290355829003322,-0.004120207519469011,Negative
With ezafe & Head Final,modifier_is_plural,0.0072883232320339105,-0.025149215561731813,-0.005249429497487865,Negative
With ezafe & Head Final,nominal_head_deprel_obl,0.006709542666637018,-0.00962739719972563,-0.002745508014343486,Negative
With ezafe & Head Final,nominal_head_deprel_obj,0.0065739074813830015,-0.002869529502683131,-0.002852182604228979,Negative
With ezafe & Head Final,modifier_feats,0.0062311535533556206,-0.03302595577794103,-0.002610045758499948,Negative
With ezafe & Head Final,nominal_head_deprel_nsubj,0.0061487950802946905,-0.018811648817081715,-0.00247720214551621,Negative
With ezafe & Head Final,modifier_upos_PRON,0.006138758857397996,0.0012634183217964932,-0.0025444872237785363,Positive
With ezafe & Head Final,head_is_plural,0.006054345860733502,-0.0467939519324992,-0.0020455951791524614,Negative
With ezafe & Head Final,nominal_head_upos_PROPN,0.005690962394664507,-0.03403782874643146,-0.00207057212978725,Negative
With ezafe & Head Final,nominal_head_consonant_ending,0.003878597548869631,-0.0004934048280814977,-0.0015735792975128228,Negative
With ezafe & Head Final,modifier_is_propn,0.0032516399343985843,-0.0012714629799422449,-0.0019330783878233743,Negative
With ezafe & Head Final,modifier_upos_PROPN,0.003170546088159638,-0.002145043760257244,-0.0021126763573545305,Negative
With ezafe & Head Final,ezafe_like_lemma_between,0.0029006529646345477,-0.03797265920982108,-0.0008800832692657877,Negative
With ezafe & Head Final,modifier_deprel_flat,0.002049576550093998,-0.027213901313248242,-0.00023010066648484334,Negative
With ezafe & Head Final,nominal_head_ī,0.0019184040847216477,-0.017780113486661243,-0.0009246743429069812,Negative
With ezafe & Head Final,nominal_head_upos_PRON,0.001772192813870034,-0.01265674482495328,-0.0005397005942897774,Negative
